DRE,Ano,MÊS,FORNECEDOR,PC,CATEGORIA,QUANTIA,DESCRIÇÃO,Data,TIPO LANÇAMENTO
,2023,FEVEREIRO,S/N,,MUSSARELA,130,,2023-02-01 00:00:00,
,2023,JULHO,,,RECICLAVEIS,36,,2023-07-01 00:00:00,
,2023,JULHO,FARTURA,,FGRAO,116.3,,2023-07-01 00:00:00,
,2023,MARÇO,ASA,,ACHOCOLATADO,68.73,,2023-03-01 00:00:00,
,2023,NOVEMBRO,,,FRETE,41.71,,2023-11-01 00:00:00,
,2023,OUTUBRO,,,FRETE,25,,2023-10-01 00:00:00,
,2023,OUTUBRO,,,RECICLAVEL,100,,2023-10-01 00:00:00,
,2023,OUTUBRO,,RECEITA,DI,350,,2023-10-01 00:00:00,
,2023,SETEMBRO,,,AQUISIÇÃO DE MOVEIS E UTENSILIOS,24.01,,2023-09-01 00:00:00,
,2023,SETEMBRO,,,FRETE,29.51,,2023-09-01 00:00:00,
,2023,SETEMBRO,,,FRETES,25,,2023-09-01 00:00:00,
,2023,SETEMBRO,,,FRETES,29.2,,2023-09-01 00:00:00,
,2024,ABRIL,,,INSS,160.52,,2024-04-01 00:00:00,
,2024,ABRIL,,,INSS,192.5,,2024-04-01 00:00:00,
,2024,ABRIL,,,PIX,5272.44,,2024-04-01 00:00:00,
,2024,ABRIL,,,VALE TRANSPORTE,45,,2024-04-01 00:00:00,
,2024,AGOSTO,,,INSS,160.52,,2024-08-01 00:00:00,
,2024,AGOSTO,,,VALE TRANSPORTE,45,,2024-08-01 00:00:00,
,2024,DEZEMBRO,,,INSS,234.72,,2024-12-01 00:00:00,
,2024,DEZEMBRO,,,PIX,1629.75,,2024-12-01 00:00:00,
,2024,DEZEMBRO,,,SINDICATO,19.5,,2024-12-01 00:00:00,
,2024,DEZEMBRO,,,UNIFORME,80,,2024-12-01 00:00:00,
,2024,DEZEMBRO,,,VALE TRANSPORTE,15,,2024-12-01 00:00:00,
,2024,DEZEMBRO,,,VALE TRANSPORTE,45,,2024-12-01 00:00:00,
,2024,FEVEREIRO,,,INSS,192.59,,2024-02-01 00:00:00,
,2024,FEVEREIRO,,,PIX,3798.16,,2024-02-01 00:00:00,
,2024,FEVEREIRO,,,VALE TRANSPORTE,45,,2024-02-01 00:00:00,
,2024,JANEIRO,,,INSS,192.59,,2024-01-01 00:00:00,
,2024,JANEIRO,,,PIX,4549.7,,2024-01-01 00:00:00,
,2024,JANEIRO,,,VALE TRANSPORTE,45,,2024-01-01 00:00:00,
,2024,JULHO,,,PIX,3000,,2024-07-01 00:00:00,
,2024,JULHO,,,VALE TRANSPORTE,45,,2024-07-01 00:00:00,
,2024,JUNHO,,,INSS,160.52,,2024-06-01 00:00:00,
,2024,JUNHO,,,PIX,1870,,2024-06-01 00:00:00,
,2024,JUNHO,,,VALE TRANSPORTE,45,,2024-06-01 00:00:00,
,2024,JUNHO,,,VALE TRANSPORTE,64,,2024-06-01 00:00:00,
,2024,JUNHO,,,VALE TRANSPORTE,65,,2024-06-01 00:00:00,
,2024,MAIO,,,INSS,160.52,,2024-05-01 00:00:00,
,2024,MAIO,,,PIX,2543.24,,2024-05-01 00:00:00,
,2024,MAIO,,,VALE TRANSPORTE,45,,2024-05-01 00:00:00,
,2024,MARÇO,,,INSS,192.5,,2024-03-01 00:00:00,
,2024,MARÇO,,,PIX,3864.05,,2024-03-01 00:00:00,
,2024,MARÇO,,,VALE TRANSPORTE,45,,2024-03-01 00:00:00,
,2024,NOVEMBRO,,,SINDICATO,19.5,,2024-11-01 00:00:00,
,2024,NOVEMBRO,,,VALE TRANSPORTE,40,,2024-11-01 00:00:00,
,2024,NOVEMBRO,,,VALE TRANSPORTE,45,,2024-11-01 00:00:00,
,2024,OUTUBRO,,,INSS,117.46,,2024-10-01 00:00:00,
,2024,OUTUBRO,,,SINDICATO,19.5,,2024-10-01 00:00:00,
